"timeMillisSpent","score"
59030,"0hard/-81soft"
59061,"0hard/-79soft"
59061,"0hard/-75soft"
59068,"0hard/-74soft"
59092,"0hard/-71soft"
59093,"0hard/-67soft"
59145,"0hard/-66soft"
59155,"0hard/-64soft"
59159,"0hard/-59soft"
59160,"0hard/-58soft"
59166,"0hard/-55soft"
59208,"0hard/-54soft"
59216,"0hard/-51soft"
59252,"0hard/-48soft"
59266,"0hard/-46soft"
59294,"0hard/-41soft"
59305,"0hard/-39soft"
59328,"0hard/-36soft"
59332,"0hard/-35soft"
59451,"0hard/-34soft"
59459,"0hard/-29soft"
59506,"0hard/-25soft"
59558,"0hard/-22soft"
59633,"0hard/-18soft"
59643,"0hard/-11soft"
