"timeMillisSpent","constraintPackage","constraintName","constraintMatchCount","scoreTotal"
39122,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","2","-2hard/0soft"
39122,"org.acme.schooltimetabling.domain","Room capacity exceeded","42","0hard/-1333soft"
39122,"org.acme.schooltimetabling.domain","Room occupancy conflict","4","-4hard/0soft"
39122,"org.acme.schooltimetabling.domain","Teacher conflict","0","0hard/0soft"
39122,"org.acme.schooltimetabling.domain","Room stability violated","297","0hard/-297soft"
39122,"org.acme.schooltimetabling.domain","Curriculum conflict","3","-3hard/0soft"
39122,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
39403,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","0","0hard/0soft"
39403,"org.acme.schooltimetabling.domain","Room capacity exceeded","36","0hard/-1180soft"
39403,"org.acme.schooltimetabling.domain","Room occupancy conflict","6","-6hard/0soft"
39403,"org.acme.schooltimetabling.domain","Teacher conflict","0","0hard/0soft"
39403,"org.acme.schooltimetabling.domain","Room stability violated","318","0hard/-318soft"
39403,"org.acme.schooltimetabling.domain","Curriculum conflict","3","-3hard/0soft"
39403,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
39404,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","0","0hard/0soft"
39404,"org.acme.schooltimetabling.domain","Room capacity exceeded","36","0hard/-1180soft"
39404,"org.acme.schooltimetabling.domain","Room occupancy conflict","6","-6hard/0soft"
39404,"org.acme.schooltimetabling.domain","Teacher conflict","0","0hard/0soft"
39404,"org.acme.schooltimetabling.domain","Room stability violated","317","0hard/-317soft"
39404,"org.acme.schooltimetabling.domain","Curriculum conflict","3","-3hard/0soft"
39404,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
39405,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","0","0hard/0soft"
39405,"org.acme.schooltimetabling.domain","Room capacity exceeded","36","0hard/-1145soft"
39405,"org.acme.schooltimetabling.domain","Room occupancy conflict","6","-6hard/0soft"
39405,"org.acme.schooltimetabling.domain","Teacher conflict","0","0hard/0soft"
39405,"org.acme.schooltimetabling.domain","Room stability violated","310","0hard/-310soft"
39405,"org.acme.schooltimetabling.domain","Curriculum conflict","3","-3hard/0soft"
39405,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
39480,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","1","-1hard/0soft"
39480,"org.acme.schooltimetabling.domain","Room capacity exceeded","37","0hard/-1218soft"
39480,"org.acme.schooltimetabling.domain","Room occupancy conflict","7","-7hard/0soft"
39480,"org.acme.schooltimetabling.domain","Teacher conflict","0","0hard/0soft"
39480,"org.acme.schooltimetabling.domain","Room stability violated","300","0hard/-300soft"
39480,"org.acme.schooltimetabling.domain","Curriculum conflict","0","0hard/0soft"
39480,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
39811,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","0","0hard/0soft"
39811,"org.acme.schooltimetabling.domain","Room capacity exceeded","32","0hard/-950soft"
39811,"org.acme.schooltimetabling.domain","Room occupancy conflict","6","-6hard/0soft"
39811,"org.acme.schooltimetabling.domain","Teacher conflict","0","0hard/0soft"
39811,"org.acme.schooltimetabling.domain","Room stability violated","298","0hard/-298soft"
39811,"org.acme.schooltimetabling.domain","Curriculum conflict","2","-2hard/0soft"
39811,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
39811,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","0","0hard/0soft"
39811,"org.acme.schooltimetabling.domain","Room capacity exceeded","32","0hard/-950soft"
39811,"org.acme.schooltimetabling.domain","Room occupancy conflict","5","-5hard/0soft"
39811,"org.acme.schooltimetabling.domain","Teacher conflict","0","0hard/0soft"
39811,"org.acme.schooltimetabling.domain","Room stability violated","298","0hard/-298soft"
39811,"org.acme.schooltimetabling.domain","Curriculum conflict","2","-2hard/0soft"
39811,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
41184,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","0","0hard/0soft"
41184,"org.acme.schooltimetabling.domain","Room capacity exceeded","36","0hard/-1195soft"
41184,"org.acme.schooltimetabling.domain","Room occupancy conflict","5","-5hard/0soft"
41184,"org.acme.schooltimetabling.domain","Teacher conflict","0","0hard/0soft"
41184,"org.acme.schooltimetabling.domain","Room stability violated","293","0hard/-293soft"
41184,"org.acme.schooltimetabling.domain","Curriculum conflict","1","-1hard/0soft"
41184,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
41185,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","0","0hard/0soft"
41185,"org.acme.schooltimetabling.domain","Room capacity exceeded","35","0hard/-1170soft"
41185,"org.acme.schooltimetabling.domain","Room occupancy conflict","5","-5hard/0soft"
41185,"org.acme.schooltimetabling.domain","Teacher conflict","0","0hard/0soft"
41185,"org.acme.schooltimetabling.domain","Room stability violated","292","0hard/-292soft"
41185,"org.acme.schooltimetabling.domain","Curriculum conflict","1","-1hard/0soft"
41185,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
41784,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","0","0hard/0soft"
41784,"org.acme.schooltimetabling.domain","Room capacity exceeded","32","0hard/-1005soft"
41784,"org.acme.schooltimetabling.domain","Room occupancy conflict","6","-6hard/0soft"
41784,"org.acme.schooltimetabling.domain","Teacher conflict","0","0hard/0soft"
41784,"org.acme.schooltimetabling.domain","Room stability violated","301","0hard/-301soft"
41784,"org.acme.schooltimetabling.domain","Curriculum conflict","0","0hard/0soft"
41784,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
41784,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","0","0hard/0soft"
41784,"org.acme.schooltimetabling.domain","Room capacity exceeded","31","0hard/-1000soft"
41784,"org.acme.schooltimetabling.domain","Room occupancy conflict","5","-5hard/0soft"
41784,"org.acme.schooltimetabling.domain","Teacher conflict","0","0hard/0soft"
41784,"org.acme.schooltimetabling.domain","Room stability violated","305","0hard/-305soft"
41784,"org.acme.schooltimetabling.domain","Curriculum conflict","1","-1hard/0soft"
41784,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
41787,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","0","0hard/0soft"
41787,"org.acme.schooltimetabling.domain","Room capacity exceeded","32","0hard/-1018soft"
41787,"org.acme.schooltimetabling.domain","Room occupancy conflict","3","-3hard/0soft"
41787,"org.acme.schooltimetabling.domain","Teacher conflict","0","0hard/0soft"
41787,"org.acme.schooltimetabling.domain","Room stability violated","304","0hard/-304soft"
41787,"org.acme.schooltimetabling.domain","Curriculum conflict","2","-2hard/0soft"
41787,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
41788,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","0","0hard/0soft"
41788,"org.acme.schooltimetabling.domain","Room capacity exceeded","32","0hard/-1018soft"
41788,"org.acme.schooltimetabling.domain","Room occupancy conflict","3","-3hard/0soft"
41788,"org.acme.schooltimetabling.domain","Teacher conflict","0","0hard/0soft"
41788,"org.acme.schooltimetabling.domain","Room stability violated","303","0hard/-303soft"
41788,"org.acme.schooltimetabling.domain","Curriculum conflict","2","-2hard/0soft"
41788,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
41788,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","0","0hard/0soft"
41788,"org.acme.schooltimetabling.domain","Room capacity exceeded","32","0hard/-1018soft"
41788,"org.acme.schooltimetabling.domain","Room occupancy conflict","3","-3hard/0soft"
41788,"org.acme.schooltimetabling.domain","Teacher conflict","0","0hard/0soft"
41788,"org.acme.schooltimetabling.domain","Room stability violated","301","0hard/-301soft"
41788,"org.acme.schooltimetabling.domain","Curriculum conflict","2","-2hard/0soft"
41788,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
41789,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","0","0hard/0soft"
41789,"org.acme.schooltimetabling.domain","Room capacity exceeded","32","0hard/-1018soft"
41789,"org.acme.schooltimetabling.domain","Room occupancy conflict","3","-3hard/0soft"
41789,"org.acme.schooltimetabling.domain","Teacher conflict","0","0hard/0soft"
41789,"org.acme.schooltimetabling.domain","Room stability violated","299","0hard/-299soft"
