"timeMillisSpent","score"
195,"-10hard/-184soft"
217,"-9hard/-184soft"
238,"-8hard/-184soft"
258,"-7hard/-184soft"
334,"-6hard/-189soft"
366,"-6hard/-184soft"
401,"-6hard/-181soft"
491,"-6hard/-159soft"
911,"-5hard/-160soft"
977,"-5hard/-159soft"
1238,"-4hard/-159soft"
1987,"-3hard/-164soft"
2111,"-3hard/-163soft"
2361,"-2hard/-163soft"
2815,"-1hard/-167soft"
2895,"-1hard/-166soft"
2957,"-1hard/-164soft"
3018,"-1hard/-163soft"
3081,"-1hard/-160soft"
3121,"0hard/-160soft"
10795,"0hard/-159soft"
12932,"0hard/-147soft"
13094,"0hard/-142soft"
13259,"0hard/-139soft"
13336,"0hard/-138soft"
18693,"0hard/-122soft"
18856,"0hard/-119soft"
19013,"0hard/-116soft"
33919,"0hard/-112soft"
35236,"0hard/-111soft"
36301,"0hard/-95soft"
36379,"0hard/-90soft"
36455,"0hard/-87soft"
