"timeMillisSpent","scoreCalculationSpeed"
1046,113656
2111,109403
3018,111186
4043,109855
5129,107163
6107,100848
7134,98972
8020,111681
9038,108528
10157,105393
11162,98445
12063,110123
13094,106655
14115,103515
15061,105569
16158,107423
17073,111871
18112,112500
19013,112457
20010,103849
21083,108861
22016,113072
23005,105608
24084,107622
25006,106789
26012,103177
27190,105432
28089,109398
29142,109166
30080,105128
31056,106735
32031,109255
33015,108729
34052,109130
35078,108287
36078,105755
37060,103559
38103,113370
39063,109045
40044,98928
41160,104283
42007,98138
43165,101094
44094,106424
45098,110796
46008,109782
47074,103346
48145,105173
49041,109953
50086,100848
51068,106384
52011,106706
53018,102856
54136,110347
55041,110235
56016,108751
57032,104565
58080,103160
59024,101420
60000,104268
