"timeMillisSpent","score"
27304,"0hard/-118soft"
27465,"0hard/-118soft"
27623,"0hard/-117soft"
27789,"0hard/-120soft"
27893,"0hard/-120soft"
27991,"0hard/-120soft"
28089,"0hard/-120soft"
28190,"0hard/-120soft"
28369,"0hard/-120soft"
28532,"0hard/-120soft"
28694,"0hard/-122soft"
28790,"0hard/-120soft"
28889,"0hard/-119soft"
28990,"0hard/-117soft"
29142,"0hard/-117soft"
29243,"0hard/-119soft"
29344,"0hard/-119soft"
29470,"0hard/-119soft"
29584,"0hard/-119soft"
29765,"0hard/-119soft"
29917,"0hard/-119soft"
30080,"0hard/-120soft"
30251,"0hard/-124soft"
30423,"0hard/-120soft"
30530,"0hard/-118soft"
30633,"0hard/-117soft"
30736,"0hard/-117soft"
30847,"0hard/-117soft"
30950,"0hard/-117soft"
31056,"0hard/-117soft"
31225,"0hard/-117soft"
31382,"0hard/-117soft"
31537,"0hard/-118soft"
31696,"0hard/-120soft"
31869,"0hard/-124soft"
32031,"0hard/-120soft"
32131,"0hard/-118soft"
32203,"0hard/-117soft"
32275,"0hard/-117soft"
32349,"0hard/-117soft"
32418,"0hard/-117soft"
32516,"0hard/-117soft"
32681,"0hard/-117soft"
32848,"0hard/-117soft"
33015,"0hard/-118soft"
33172,"0hard/-120soft"
33351,"0hard/-124soft"
33520,"0hard/-120soft"
33627,"0hard/-118soft"
33703,"0hard/-117soft"
33775,"0hard/-117soft"
33847,"0hard/-117soft"
33919,"0hard/-117soft"
33977,"0hard/-112soft"
34052,"0hard/-112soft"
34177,"0hard/-112soft"
34302,"0hard/-112soft"
34463,"0hard/-113soft"
34617,"0hard/-115soft"
34777,"0hard/-113soft"
34878,"0hard/-112soft"
34975,"0hard/-112soft"
35078,"0hard/-112soft"
35236,"0hard/-112soft"
35324,"0hard/-111soft"
35422,"0hard/-111soft"
35537,"0hard/-111soft"
35637,"0hard/-111soft"
35743,"0hard/-112soft"
35921,"0hard/-115soft"
36078,"0hard/-120soft"
36174,"0hard/-119soft"
36301,"0hard/-119soft"
36379,"0hard/-95soft"
36455,"0hard/-90soft"
36510,"0hard/-87soft"
36563,"0hard/-87soft"
36615,"0hard/-87soft"
36678,"0hard/-87soft"
36780,"0hard/-87soft"
36883,"0hard/-87soft"
36986,"0hard/-88soft"
37060,"0hard/-87soft"
37211,"0hard/-87soft"
37371,"0hard/-91soft"
37533,"0hard/-87soft"
