"timeMillisSpent","score"
183,"-10hard/-184soft"
186,"-9hard/-188soft"
189,"-8hard/-442soft"
236,"-7hard/-2070soft"
237,"-7hard/-2047soft"
239,"-7hard/-2025soft"
240,"-7hard/-2001soft"
290,"-6hard/-2384soft"
292,"-6hard/-2321soft"
297,"-6hard/-2296soft"
307,"-6hard/-2285soft"
307,"-6hard/-2281soft"
311,"-6hard/-2255soft"
338,"-6hard/-2187soft"
339,"-5hard/-2195soft"
409,"-5hard/-2104soft"
571,"-5hard/-2047soft"
576,"-4hard/-2088soft"
576,"-4hard/-2086soft"
779,"-4hard/-2077soft"
781,"-3hard/-2213soft"
839,"-3hard/-1824soft"
1049,"-2hard/-2475soft"
1278,"-2hard/-2217soft"
1278,"-2hard/-2216soft"
1408,"-2hard/-1970soft"
1653,"-2hard/-1905soft"
1686,"-2hard/-1847soft"
1716,"-1hard/-2512soft"
1757,"-1hard/-2034soft"
1907,"-1hard/-2013soft"
1908,"-1hard/-2012soft"
1908,"-1hard/-2010soft"
2013,"-1hard/-1935soft"
2018,"-1hard/-1807soft"
2230,"0hard/-2340soft"
2231,"0hard/-2321soft"
2470,"0hard/-2241soft"
2835,"0hard/-1714soft"
2901,"0hard/-1676soft"
3362,"0hard/-1449soft"
3363,"0hard/-1414soft"
3363,"0hard/-1341soft"
4629,"0hard/-1326soft"
4748,"0hard/-1315soft"
4749,"0hard/-1314soft"
4922,"0hard/-1280soft"
4923,"0hard/-1279soft"
4923,"0hard/-1278soft"
4959,"0hard/-1217soft"
5394,"0hard/-1191soft"
5604,"0hard/-1175soft"
5604,"0hard/-1173soft"
5905,"0hard/-1150soft"
5906,"0hard/-1149soft"
5953,"0hard/-1128soft"
5954,"0hard/-1126soft"
5954,"0hard/-1123soft"
5967,"0hard/-1118soft"
5967,"0hard/-1117soft"
6024,"0hard/-1062soft"
6024,"0hard/-1060soft"
6089,"0hard/-1058soft"
6091,"0hard/-1053soft"
6091,"0hard/-1052soft"
6091,"0hard/-1042soft"
6092,"0hard/-1030soft"
6092,"0hard/-1008soft"
6627,"0hard/-948soft"
6628,"0hard/-947soft"
6896,"0hard/-943soft"
6897,"0hard/-942soft"
6898,"0hard/-918soft"
6899,"0hard/-917soft"
7103,"0hard/-915soft"
7199,"0hard/-914soft"
7207,"0hard/-911soft"
7404,"0hard/-894soft"
7509,"0hard/-878soft"
7587,"0hard/-868soft"
7611,"0hard/-864soft"
7612,"0hard/-863soft"
7612,"0hard/-861soft"
7698,"0hard/-846soft"
7700,"0hard/-845soft"
7797,"0hard/-842soft"
7799,"0hard/-838soft"
7799,"0hard/-837soft"
7828,"0hard/-799soft"
8125,"0hard/-794soft"
8298,"0hard/-792soft"
8298,"0hard/-791soft"
8299,"0hard/-788soft"
8332,"0hard/-777soft"
8337,"0hard/-737soft"
8937,"0hard/-712soft"
9088,"0hard/-698soft"
9205,"0hard/-686soft"
9372,"0hard/-673soft"
9373,"0hard/-672soft"
9447,"0hard/-667soft"
9448,"0hard/-666soft"
9801,"0hard/-662soft"
9912,"0hard/-657soft"
9913,"0hard/-656soft"
9914,"0hard/-655soft"
9914,"0hard/-651soft"
9915,"0hard/-650soft"
9915,"0hard/-649soft"
9915,"0hard/-624soft"
10189,"0hard/-616soft"
10190,"0hard/-614soft"
10439,"0hard/-607soft"
10440,"0hard/-606soft"
10441,"0hard/-603soft"
10482,"0hard/-600soft"
10559,"0hard/-586soft"
10560,"0hard/-585soft"
10561,"0hard/-583soft"
10561,"0hard/-582soft"
10570,"0hard/-580soft"
10570,"0hard/-578soft"
10688,"0hard/-572soft"
10692,"0hard/-555soft"
10692,"0hard/-551soft"
11211,"0hard/-544soft"
11225,"0hard/-539soft"
11396,"0hard/-526soft"
11399,"0hard/-521soft"
11496,"0hard/-501soft"
11497,"0hard/-499soft"
11498,"0hard/-498soft"
12189,"0hard/-491soft"
12189,"0hard/-478soft"
12224,"0hard/-473soft"
12464,"0hard/-468soft"
12465,"0hard/-467soft"
12486,"0hard/-456soft"
12593,"0hard/-454soft"
12674,"0hard/-437soft"
12794,"0hard/-431soft"
12796,"0hard/-429soft"
12873,"0hard/-422soft"
13111,"0hard/-418soft"
13114,"0hard/-413soft"
13114,"0hard/-411soft"
13337,"0hard/-399soft"
13337,"0hard/-398soft"
13435,"0hard/-396soft"
13436,"0hard/-395soft"
13775,"0hard/-385soft"
14192,"0hard/-375soft"
14192,"0hard/-374soft"
14275,"0hard/-370soft"
14275,"0hard/-368soft"
14276,"0hard/-366soft"
14418,"0hard/-348soft"
14423,"0hard/-347soft"
14423,"0hard/-345soft"
14520,"0hard/-311soft"
15358,"0hard/-295soft"
15558,"0hard/-290soft"
15559,"0hard/-284soft"
15865,"0hard/-273soft"
16457,"0hard/-254soft"
16457,"0hard/-249soft"
16458,"0hard/-246soft"
16459,"0hard/-244soft"
17102,"0hard/-239soft"
17395,"0hard/-230soft"
17806,"0hard/-220soft"
17862,"0hard/-204soft"
17863,"0hard/-202soft"
19073,"0hard/-201soft"
19074,"0hard/-200soft"
19173,"0hard/-198soft"
19292,"0hard/-197soft"
19417,"0hard/-174soft"
20669,"0hard/-173soft"
20669,"0hard/-172soft"
20671,"0hard/-171soft"
20680,"0hard/-166soft"
20914,"0hard/-165soft"
21488,"0hard/-164soft"
21769,"0hard/-160soft"
21810,"0hard/-159soft"
21811,"0hard/-158soft"
21921,"0hard/-157soft"
22026,"0hard/-155soft"
22232,"0hard/-153soft"
22237,"0hard/-152soft"
22247,"0hard/-148soft"
22532,"0hard/-147soft"
22763,"0hard/-146soft"
22917,"0hard/-145soft"
22971,"0hard/-144soft"
23302,"0hard/-143soft"
23357,"0hard/-142soft"
23476,"0hard/-139soft"
23903,"0hard/-136soft"
24978,"0hard/-135soft"
25069,"0hard/-134soft"
25259,"0hard/-132soft"
25402,"0hard/-131soft"
25403,"0hard/-130soft"
25665,"0hard/-129soft"
25773,"0hard/-128soft"
25791,"0hard/-127soft"
25911,"0hard/-126soft"
26388,"0hard/-123soft"
26520,"0hard/-122soft"
26544,"0hard/-120soft"
26544,"0hard/-119soft"
26737,"0hard/-117soft"
26964,"0hard/-115soft"
27463,"0hard/-113soft"
27801,"0hard/-112soft"
28060,"0hard/-110soft"
28061,"0hard/-108soft"
28556,"0hard/-107soft"
28590,"0hard/-106soft"
28715,"0hard/-104soft"
29043,"0hard/-103soft"
29148,"0hard/-99soft"
30159,"0hard/-98soft"
30473,"0hard/-97soft"
30474,"0hard/-95soft"
30478,"0hard/-94soft"
31245,"0hard/-92soft"
31985,"0hard/-91soft"
32091,"0hard/-89soft"
32425,"0hard/-84soft"
33034,"0hard/-83soft"
33861,"0hard/-82soft"
34042,"0hard/-79soft"
34259,"0hard/-78soft"
34528,"0hard/-77soft"
34977,"0hard/-75soft"
35995,"0hard/-74soft"
36090,"0hard/-72soft"
36580,"0hard/-71soft"
36580,"0hard/-68soft"
37888,"0hard/-67soft"
38575,"0hard/-66soft"
38853,"0hard/-65soft"
39593,"0hard/-64soft"
40529,"0hard/-63soft"
41075,"0hard/-61soft"
41081,"0hard/-59soft"
41199,"0hard/-56soft"
42867,"0hard/-55soft"
43891,"0hard/-52soft"
44743,"0hard/-51soft"
44743,"0hard/-49soft"
44827,"0hard/-46soft"
45181,"0hard/-42soft"
47469,"0hard/-41soft"
47502,"0hard/-40soft"
47741,"0hard/-38soft"
48188,"0hard/-37soft"
48521,"0hard/-33soft"
51050,"0hard/-32soft"
52163,"0hard/-31soft"
52804,"0hard/-30soft"
52808,"0hard/-29soft"
53095,"0hard/-28soft"
53713,"0hard/-27soft"
53892,"0hard/-25soft"
55296,"0hard/-24soft"
55921,"0hard/-20soft"
56961,"0hard/-19soft"
57459,"0hard/-18soft"
58056,"0hard/-14soft"
59585,"0hard/-13soft"
59651,"0hard/-9soft"
