"timeMillisSpent","score"
797,"-10hard/-184soft"
37072,"-9hard/-1569soft"
38470,"-9hard/-1083soft"
38658,"-8hard/-1543soft"
38658,"-8hard/-1533soft"
38905,"-8hard/-1461soft"
40345,"-8hard/-1321soft"
40346,"-8hard/-1317soft"
40574,"-8hard/-1201soft"
40574,"-8hard/-1199soft"
40736,"-7hard/-1349soft"
40737,"-7hard/-1348soft"
40738,"-7hard/-1332soft"
40739,"-7hard/-1284soft"
40740,"-7hard/-1282soft"
41394,"-7hard/-1019soft"
41394,"-7hard/-1018soft"
41459,"-6hard/-1381soft"
41459,"-6hard/-1378soft"
41503,"-6hard/-1165soft"
41504,"-5hard/-1167soft"
41507,"-5hard/-1104soft"
41508,"-5hard/-1102soft"
42346,"-5hard/-1086soft"
42773,"-5hard/-903soft"
42773,"-5hard/-900soft"
43231,"-4hard/-1270soft"
43232,"-4hard/-1269soft"
43774,"-3hard/-1396soft"
44197,"-3hard/-1094soft"
44198,"-3hard/-1092soft"
44199,"-3hard/-1081soft"
44204,"-3hard/-1077soft"
44205,"-3hard/-1074soft"
44222,"-3hard/-940soft"
44222,"-3hard/-939soft"
44223,"-3hard/-937soft"
44224,"-3hard/-933soft"
44224,"-2hard/-932soft"
44912,"-2hard/-790soft"
44933,"-1hard/-844soft"
44934,"-1hard/-820soft"
44935,"-1hard/-819soft"
44935,"-1hard/-817soft"
47015,"-1hard/-525soft"
47338,"0hard/-819soft"
47339,"0hard/-818soft"
47415,"0hard/-640soft"
47422,"0hard/-601soft"
47444,"0hard/-570soft"
47446,"0hard/-569soft"
49099,"0hard/-557soft"
49192,"0hard/-553soft"
49192,"0hard/-552soft"
49193,"0hard/-549soft"
49198,"0hard/-546soft"
49447,"0hard/-450soft"
49476,"0hard/-443soft"
49476,"0hard/-441soft"
49478,"0hard/-438soft"
49479,"0hard/-435soft"
49479,"0hard/-433soft"
49483,"0hard/-431soft"
49486,"0hard/-386soft"
49487,"0hard/-383soft"
49488,"0hard/-381soft"
49530,"0hard/-361soft"
49531,"0hard/-360soft"
49532,"0hard/-359soft"
49532,"0hard/-358soft"
49533,"0hard/-357soft"
50175,"0hard/-356soft"
50179,"0hard/-351soft"
50180,"0hard/-350soft"
50180,"0hard/-347soft"
50709,"0hard/-307soft"
50717,"0hard/-306soft"
50718,"0hard/-305soft"
50722,"0hard/-304soft"
50819,"0hard/-302soft"
50819,"0hard/-298soft"
50820,"0hard/-297soft"
50914,"0hard/-296soft"
50916,"0hard/-295soft"
50918,"0hard/-294soft"
50920,"0hard/-292soft"
51745,"0hard/-280soft"
51746,"0hard/-277soft"
51748,"0hard/-276soft"
51808,"0hard/-274soft"
52011,"0hard/-247soft"
52012,"0hard/-244soft"
52013,"0hard/-243soft"
52516,"0hard/-242soft"
52519,"0hard/-241soft"
52521,"0hard/-240soft"
52524,"0hard/-239soft"
52524,"0hard/-238soft"
52526,"0hard/-234soft"
52533,"0hard/-230soft"
52549,"0hard/-228soft"
52553,"0hard/-227soft"
52553,"0hard/-225soft"
52554,"0hard/-224soft"
52557,"0hard/-222soft"
52560,"0hard/-218soft"
52560,"0hard/-217soft"
52565,"0hard/-215soft"
52589,"0hard/-210soft"
52591,"0hard/-209soft"
52594,"0hard/-208soft"
52596,"0hard/-206soft"
52596,"0hard/-205soft"
52602,"0hard/-204soft"
52604,"0hard/-201soft"
52607,"0hard/-197soft"
52610,"0hard/-196soft"
52611,"0hard/-191soft"
52614,"0hard/-190soft"
52615,"0hard/-189soft"
52625,"0hard/-188soft"
52743,"0hard/-185soft"
52826,"0hard/-184soft"
52851,"0hard/-181soft"
53074,"0hard/-179soft"
53075,"0hard/-176soft"
53076,"0hard/-171soft"
53261,"0hard/-168soft"
53263,"0hard/-167soft"
53264,"0hard/-165soft"
53265,"0hard/-164soft"
53280,"0hard/-161soft"
53282,"0hard/-160soft"
53295,"0hard/-156soft"
53296,"0hard/-155soft"
53299,"0hard/-153soft"
53338,"0hard/-149soft"
53352,"0hard/-148soft"
53752,"0hard/-146soft"
53763,"0hard/-145soft"
53784,"0hard/-143soft"
53786,"0hard/-142soft"
53787,"0hard/-141soft"
53788,"0hard/-139soft"
54330,"0hard/-137soft"
54330,"0hard/-134soft"
54331,"0hard/-129soft"
54331,"0hard/-127soft"
54348,"0hard/-125soft"
54351,"0hard/-124soft"
54351,"0hard/-123soft"
54363,"0hard/-122soft"
54366,"0hard/-118soft"
54367,"0hard/-117soft"
54368,"0hard/-114soft"
54370,"0hard/-109soft"
54371,"0hard/-104soft"
54620,"0hard/-103soft"
54621,"0hard/-101soft"
54621,"0hard/-98soft"
54627,"0hard/-97soft"
55542,"0hard/-96soft"
55545,"0hard/-93soft"
55801,"0hard/-91soft"
55824,"0hard/-90soft"
55827,"0hard/-87soft"
55830,"0hard/-82soft"
55838,"0hard/-81soft"
55889,"0hard/-80soft"
55890,"0hard/-75soft"
55891,"0hard/-70soft"
55904,"0hard/-66soft"
55929,"0hard/-65soft"
55966,"0hard/-64soft"
56092,"0hard/-61soft"
56095,"0hard/-60soft"
56114,"0hard/-59soft"
56375,"0hard/-57soft"
56402,"0hard/-53soft"
56412,"0hard/-52soft"
56918,"0hard/-51soft"
56976,"0hard/-49soft"
57015,"0hard/-45soft"
57023,"0hard/-43soft"
57144,"0hard/-42soft"
57153,"0hard/-40soft"
57155,"0hard/-38soft"
57175,"0hard/-33soft"
57252,"0hard/-32soft"
57267,"0hard/-29soft"
57338,"0hard/-28soft"
57382,"0hard/-27soft"
57967,"0hard/-24soft"
58151,"0hard/-23soft"
58268,"0hard/-19soft"
58469,"0hard/-13soft"
58588,"0hard/-12soft"
58914,"0hard/-6soft"
