"timeMillisSpent","score"
6899,"0hard/-137soft"
6929,"0hard/-136soft"
7132,"0hard/-134soft"
7182,"0hard/-130soft"
7282,"0hard/-127soft"
7314,"0hard/-126soft"
7416,"0hard/-125soft"
7467,"0hard/-124soft"
7560,"0hard/-123soft"
7602,"0hard/-122soft"
7604,"0hard/-121soft"
7626,"0hard/-120soft"
7690,"0hard/-118soft"
7746,"0hard/-117soft"
7754,"0hard/-115soft"
7828,"0hard/-114soft"
7953,"0hard/-113soft"
7988,"0hard/-112soft"
8042,"0hard/-111soft"
8096,"0hard/-110soft"
8097,"0hard/-107soft"
8154,"0hard/-104soft"
8320,"0hard/-102soft"
8334,"0hard/-99soft"
8444,"0hard/-98soft"
8482,"0hard/-95soft"
8696,"0hard/-94soft"
8697,"0hard/-92soft"
8909,"0hard/-90soft"
8970,"0hard/-86soft"
9018,"0hard/-81soft"
9437,"0hard/-79soft"
9437,"0hard/-75soft"
9777,"0hard/-74soft"
9945,"0hard/-69soft"
9945,"0hard/-62soft"
10644,"0hard/-60soft"
10749,"0hard/-59soft"
10795,"0hard/-57soft"
10836,"0hard/-54soft"
11147,"0hard/-53soft"
11246,"0hard/-48soft"
11394,"0hard/-46soft"
11534,"0hard/-44soft"
11914,"0hard/-43soft"
11936,"0hard/-42soft"
11961,"0hard/-38soft"
11966,"0hard/-37soft"
12101,"0hard/-36soft"
12323,"0hard/-35soft"
12325,"0hard/-33soft"
12378,"0hard/-32soft"
12617,"0hard/-31soft"
12641,"0hard/-29soft"
12642,"0hard/-28soft"
12876,"0hard/-27soft"
13040,"0hard/-26soft"
13091,"0hard/-25soft"
13097,"0hard/-23soft"
13105,"0hard/-20soft"
13169,"0hard/-19soft"
13242,"0hard/-16soft"
13375,"0hard/-12soft"
14255,"0hard/-8soft"
14589,"0hard/-6soft"
