"timeMillisSpent","constraintPackage","constraintName","constraintMatchCount","scoreTotal"
602,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
602,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","0","0hard/0soft"
700,"org.acme.schooltimetabling.domain","Room occupancy conflict","3","-3hard/0soft"
700,"org.acme.schooltimetabling.domain","Curriculum conflict","0","0hard/0soft"
700,"org.acme.schooltimetabling.domain","Room stability violated","41","0hard/-41soft"
700,"org.acme.schooltimetabling.domain","Teacher conflict","0","0hard/0soft"
700,"org.acme.schooltimetabling.domain","Room capacity exceeded","12","0hard/-156soft"
700,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
700,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","0","0hard/0soft"
707,"org.acme.schooltimetabling.domain","Room occupancy conflict","1","-1hard/0soft"
707,"org.acme.schooltimetabling.domain","Curriculum conflict","1","-1hard/0soft"
707,"org.acme.schooltimetabling.domain","Room stability violated","39","0hard/-39soft"
707,"org.acme.schooltimetabling.domain","Teacher conflict","0","0hard/0soft"
707,"org.acme.schooltimetabling.domain","Room capacity exceeded","12","0hard/-156soft"
707,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
707,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","0","0hard/0soft"
723,"org.acme.schooltimetabling.domain","Room occupancy conflict","2","-2hard/0soft"
723,"org.acme.schooltimetabling.domain","Curriculum conflict","0","0hard/0soft"
723,"org.acme.schooltimetabling.domain","Room stability violated","43","0hard/-43soft"
723,"org.acme.schooltimetabling.domain","Teacher conflict","0","0hard/0soft"
723,"org.acme.schooltimetabling.domain","Room capacity exceeded","12","0hard/-156soft"
723,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
723,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","0","0hard/0soft"
889,"org.acme.schooltimetabling.domain","Room occupancy conflict","2","-2hard/0soft"
889,"org.acme.schooltimetabling.domain","Curriculum conflict","0","0hard/0soft"
889,"org.acme.schooltimetabling.domain","Room stability violated","35","0hard/-35soft"
889,"org.acme.schooltimetabling.domain","Teacher conflict","0","0hard/0soft"
889,"org.acme.schooltimetabling.domain","Room capacity exceeded","12","0hard/-156soft"
889,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
889,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","0","0hard/0soft"
905,"org.acme.schooltimetabling.domain","Room occupancy conflict","1","-1hard/0soft"
905,"org.acme.schooltimetabling.domain","Curriculum conflict","0","0hard/0soft"
905,"org.acme.schooltimetabling.domain","Room stability violated","44","0hard/-44soft"
905,"org.acme.schooltimetabling.domain","Teacher conflict","0","0hard/0soft"
905,"org.acme.schooltimetabling.domain","Room capacity exceeded","12","0hard/-156soft"
905,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
905,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","0","0hard/0soft"
920,"org.acme.schooltimetabling.domain","Room occupancy conflict","1","-1hard/0soft"
920,"org.acme.schooltimetabling.domain","Curriculum conflict","0","0hard/0soft"
920,"org.acme.schooltimetabling.domain","Room stability violated","43","0hard/-43soft"
920,"org.acme.schooltimetabling.domain","Teacher conflict","0","0hard/0soft"
920,"org.acme.schooltimetabling.domain","Room capacity exceeded","12","0hard/-156soft"
920,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
920,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","0","0hard/0soft"
934,"org.acme.schooltimetabling.domain","Room occupancy conflict","0","0hard/0soft"
934,"org.acme.schooltimetabling.domain","Curriculum conflict","0","0hard/0soft"
934,"org.acme.schooltimetabling.domain","Room stability violated","41","0hard/-41soft"
934,"org.acme.schooltimetabling.domain","Teacher conflict","0","0hard/0soft"
934,"org.acme.schooltimetabling.domain","Room capacity exceeded","12","0hard/-156soft"
934,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
934,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","0","0hard/0soft"
940,"org.acme.schooltimetabling.domain","Room occupancy conflict","1","-1hard/0soft"
940,"org.acme.schooltimetabling.domain","Curriculum conflict","1","-1hard/0soft"
940,"org.acme.schooltimetabling.domain","Room stability violated","34","0hard/-34soft"
940,"org.acme.schooltimetabling.domain","Teacher conflict","0","0hard/0soft"
940,"org.acme.schooltimetabling.domain","Room capacity exceeded","12","0hard/-156soft"
940,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
940,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","0","0hard/0soft"
1242,"org.acme.schooltimetabling.domain","Room occupancy conflict","1","-1hard/0soft"
1242,"org.acme.schooltimetabling.domain","Curriculum conflict","1","-1hard/0soft"
1242,"org.acme.schooltimetabling.domain","Room stability violated","29","0hard/-29soft"
1242,"org.acme.schooltimetabling.domain","Teacher conflict","1","-1hard/0soft"
