"timeMillisSpent","score"
220,"-10hard/-184soft"
226,"-10hard/-184soft"
236,"-9hard/-184soft"
244,"-8hard/-184soft"
252,"-8hard/-184soft"
261,"-7hard/-184soft"
268,"-7hard/-184soft"
276,"-7hard/-184soft"
286,"-7hard/-184soft"
295,"-7hard/-181soft"
305,"-7hard/-181soft"
313,"-7hard/-181soft"
320,"-7hard/-181soft"
328,"-7hard/-181soft"
336,"-6hard/-185soft"
344,"-6hard/-185soft"
355,"-6hard/-185soft"
366,"-6hard/-180soft"
373,"-6hard/-180soft"
381,"-6hard/-180soft"
389,"-6hard/-180soft"
398,"-6hard/-180soft"
410,"-6hard/-180soft"
425,"-6hard/-180soft"
437,"-6hard/-180soft"
448,"-6hard/-180soft"
458,"-6hard/-180soft"
467,"-6hard/-180soft"
474,"-5hard/-185soft"
482,"-5hard/-185soft"
490,"-5hard/-185soft"
498,"-5hard/-185soft"
508,"-5hard/-185soft"
519,"-5hard/-185soft"
528,"-5hard/-185soft"
538,"-5hard/-185soft"
554,"-4hard/-187soft"
566,"-4hard/-187soft"
575,"-4hard/-187soft"
585,"-4hard/-187soft"
594,"-4hard/-187soft"
602,"-3hard/-187soft"
609,"-2hard/-191soft"
619,"-2hard/-191soft"
628,"-2hard/-191soft"
637,"-2hard/-191soft"
646,"-2hard/-191soft"
657,"-2hard/-191soft"
665,"-2hard/-191soft"
675,"-2hard/-191soft"
683,"-2hard/-192soft"
692,"-2hard/-192soft"
700,"-2hard/-192soft"
707,"-1hard/-195soft"
713,"-1hard/-194soft"
723,"-1hard/-194soft"
730,"-1hard/-193soft"
738,"-1hard/-193soft"
749,"-1hard/-193soft"
759,"-1hard/-193soft"
771,"-1hard/-193soft"
783,"-1hard/-193soft"
795,"-1hard/-193soft"
804,"-1hard/-193soft"
814,"-1hard/-193soft"
824,"-1hard/-193soft"
833,"-1hard/-193soft"
842,"-1hard/-193soft"
852,"-1hard/-193soft"
861,"-1hard/-193soft"
870,"-1hard/-194soft"
879,"-1hard/-194soft"
889,"-1hard/-194soft"
897,"0hard/-195soft"
905,"0hard/-195soft"
913,"0hard/-194soft"
920,"0hard/-194soft"
926,"0hard/-193soft"
934,"0hard/-193soft"
940,"0hard/-190soft"
946,"0hard/-185soft"
951,"0hard/-185soft"
957,"0hard/-185soft"
964,"0hard/-185soft"
972,"0hard/-185soft"
980,"0hard/-185soft"
991,"0hard/-185soft"
1001,"0hard/-185soft"
1009,"0hard/-185soft"
1018,"0hard/-185soft"
1026,"0hard/-185soft"
1036,"0hard/-185soft"
1044,"0hard/-185soft"
1053,"0hard/-185soft"
1062,"0hard/-185soft"
1070,"0hard/-185soft"
1078,"0hard/-185soft"
1090,"0hard/-185soft"
1103,"0hard/-185soft"
1112,"0hard/-185soft"
1122,"0hard/-185soft"
1132,"0hard/-185soft"
1144,"0hard/-185soft"
1154,"0hard/-185soft"
1165,"0hard/-185soft"
1174,"0hard/-185soft"
1183,"0hard/-185soft"
1195,"0hard/-185soft"
1204,"0hard/-185soft"
1213,"0hard/-185soft"
1223,"0hard/-185soft"
1233,"0hard/-185soft"
1242,"0hard/-185soft"
1250,"0hard/-183soft"
1259,"0hard/-183soft"
1267,"0hard/-183soft"
1276,"0hard/-183soft"
1286,"0hard/-183soft"
1297,"0hard/-183soft"
1307,"0hard/-183soft"
1317,"0hard/-183soft"
1326,"0hard/-183soft"
1336,"0hard/-183soft"
1350,"0hard/-183soft"
1361,"0hard/-183soft"
1370,"0hard/-183soft"
1380,"0hard/-183soft"
1390,"0hard/-183soft"
1400,"0hard/-183soft"
1408,"0hard/-183soft"
1418,"0hard/-183soft"
1426,"0hard/-183soft"
1434,"0hard/-183soft"
1443,"0hard/-183soft"
1452,"0hard/-183soft"
1461,"0hard/-183soft"
1472,"0hard/-183soft"
1482,"0hard/-184soft"
1495,"0hard/-184soft"
1505,"0hard/-184soft"
1513,"0hard/-183soft"
1521,"0hard/-183soft"
1531,"0hard/-183soft"
1540,"0hard/-183soft"
1550,"0hard/-183soft"
1560,"0hard/-183soft"
1569,"0hard/-183soft"
1577,"0hard/-183soft"
1587,"0hard/-183soft"
1596,"0hard/-183soft"
1606,"0hard/-183soft"
1619,"0hard/-183soft"
1632,"0hard/-183soft"
1642,"0hard/-183soft"
1654,"0hard/-183soft"
1664,"0hard/-183soft"
1672,"0hard/-185soft"
1681,"0hard/-185soft"
1689,"0hard/-186soft"
1697,"0hard/-186soft"
1704,"0hard/-185soft"
1711,"0hard/-183soft"
1718,"0hard/-183soft"
1726,"0hard/-161soft"
1733,"0hard/-161soft"
1740,"0hard/-161soft"
1750,"0hard/-161soft"
1758,"0hard/-159soft"
1766,"0hard/-159soft"
1776,"0hard/-159soft"
1785,"0hard/-159soft"
1793,"0hard/-159soft"
1808,"0hard/-159soft"
1821,"0hard/-159soft"
1831,"0hard/-159soft"
1840,"0hard/-159soft"
1848,"0hard/-159soft"
1855,"0hard/-159soft"
1864,"0hard/-159soft"
1872,"0hard/-159soft"
1882,"0hard/-159soft"
1890,"0hard/-159soft"
1900,"0hard/-159soft"
1909,"0hard/-159soft"
1918,"0hard/-159soft"
1926,"0hard/-159soft"
1936,"0hard/-159soft"
1945,"0hard/-159soft"
1957,"0hard/-159soft"
1967,"0hard/-161soft"
1976,"0hard/-161soft"
1985,"0hard/-161soft"
1993,"0hard/-161soft"
2001,"0hard/-161soft"
2010,"0hard/-161soft"
2018,"0hard/-159soft"
2026,"0hard/-159soft"
2036,"0hard/-159soft"
2045,"0hard/-159soft"
2055,"0hard/-159soft"
2065,"0hard/-159soft"
2075,"0hard/-159soft"
2084,"0hard/-159soft"
2093,"0hard/-159soft"
2108,"0hard/-159soft"
2128,"0hard/-159soft"
2143,"0hard/-159soft"
2155,"0hard/-159soft"
2166,"0hard/-159soft"
2175,"0hard/-159soft"
2185,"0hard/-159soft"
2195,"0hard/-159soft"
2209,"0hard/-159soft"
2220,"0hard/-161soft"
2228,"0hard/-161soft"
2239,"0hard/-161soft"
2249,"0hard/-161soft"
2258,"0hard/-161soft"
2267,"0hard/-161soft"
2281,"0hard/-161soft"
2290,"0hard/-163soft"
2299,"0hard/-163soft"
2306,"0hard/-163soft"
2316,"0hard/-163soft"
2323,"0hard/-159soft"
2332,"0hard/-159soft"
2341,"0hard/-159soft"
2353,"0hard/-159soft"
2367,"0hard/-159soft"
2380,"0hard/-157soft"
2399,"0hard/-157soft"
2415,"0hard/-157soft"
2432,"0hard/-157soft"
2443,"0hard/-157soft"
2460,"0hard/-157soft"
2476,"0hard/-157soft"
2487,"0hard/-157soft"
2500,"0hard/-157soft"
2511,"0hard/-157soft"
2522,"0hard/-157soft"
2533,"0hard/-157soft"
2544,"0hard/-157soft"
2554,"0hard/-157soft"
2562,"0hard/-157soft"
2571,"0hard/-157soft"
2580,"0hard/-157soft"
2590,"0hard/-157soft"
2601,"0hard/-157soft"
2617,"0hard/-157soft"
2630,"0hard/-157soft"
2642,"0hard/-157soft"
2651,"0hard/-157soft"
2662,"0hard/-157soft"
2670,"0hard/-157soft"
2679,"0hard/-157soft"
2689,"0hard/-157soft"
2699,"0hard/-157soft"
2709,"0hard/-157soft"
2718,"0hard/-157soft"
2727,"0hard/-157soft"
2735,"0hard/-157soft"
2745,"0hard/-157soft"
2756,"0hard/-157soft"
2765,"0hard/-157soft"
2774,"0hard/-157soft"
2784,"0hard/-157soft"
2793,"0hard/-157soft"
2802,"0hard/-157soft"
2816,"0hard/-157soft"
2828,"0hard/-157soft"
2842,"0hard/-157soft"
2852,"0hard/-157soft"
2862,"0hard/-157soft"
2871,"0hard/-157soft"
2882,"0hard/-157soft"
2891,"0hard/-157soft"
2900,"0hard/-157soft"
2909,"0hard/-157soft"
2918,"0hard/-157soft"
2927,"0hard/-157soft"
2937,"0hard/-157soft"
2946,"0hard/-157soft"
2956,"0hard/-157soft"
2967,"0hard/-157soft"
2976,"0hard/-157soft"
2987,"0hard/-157soft"
2998,"0hard/-157soft"
3006,"0hard/-157soft"
3014,"0hard/-157soft"
3022,"0hard/-157soft"
3030,"0hard/-157soft"
3039,"0hard/-157soft"
3050,"0hard/-157soft"
3060,"0hard/-157soft"
3068,"0hard/-155soft"
3075,"0hard/-155soft"
3082,"0hard/-155soft"
3089,"0hard/-155soft"
3098,"0hard/-155soft"
3107,"0hard/-155soft"
3120,"0hard/-155soft"
3133,"0hard/-155soft"
3145,"0hard/-155soft"
3159,"0hard/-155soft"
3173,"0hard/-155soft"
3185,"0hard/-155soft"
3198,"0hard/-155soft"
